# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	locative	{0} konjska moč	po 101 konjska moč	{0} konjski moči	po 102 konjski moči	{0} konjske moči	po 4 konjske moči	{0} konjskih moči	po 5 konjskih moči
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	dative	{0} konjska moč	kljub 101 konjska moč	{0} konjski moči	kljub 102 konjski moči	{0} konjske moči	kljub 4 konjske moči	{0} konjskih moči	kljub 5 konjskih moči
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a	instrumental	{0} konjska moč	s/z 101 konjska moč	{0} konjski moči	s/z 102 konjski moči	{0} konjske moči	s/z 4 konjske moči	{0} konjskih moči	s/z 5 konjskih moči
power	kilowatts	masculine	On kilovat	nominative	{0} kilovat	101 kilovat je	{0} kilovata	102 kilovata je	{0} kilovati	4 kilovati je	{0} kilovatov	5 kilovatov je
power	kilowatts	masculine	On kilovat	accusative	{0} kilovat	čez 101 kilovat	{0} kilovata	čez 102 kilovata	{0} kilovate	čez 4 kilovate	{0} kilovatov	čez 5 kilovatov
power	kilowatts	masculine	On kilovat	genitive	{0} kilovata	brez 101 kilovata	{0} kilovatov	brez 102 kilovatov	{0} kilovatov	brez 4 kilovatov	{0} kilovatov	brez 5 kilovatov
power	kilowatts	masculine	On kilovat	locative	{0} kilovatu	po 101 kilovatu	{0} kilovatih	po 102 kilovatih	{0} kilovatih	po 4 kilovatih	{0} kilovatih	po 5 kilovatih
power	kilowatts	masculine	On kilovat	dative	{0} kilovatu	kljub 101 kilovatu	{0} kilovatoma	kljub 102 kilovatoma	{0} kilovatom	kljub 4 kilovatom	{0} kilovatom	kljub 5 kilovatom
power	kilowatts	masculine	On kilovat	instrumental	{0} kilovatom	s/z 101 kilovatom	{0} kilovatoma	s/z 102 kilovatoma	{0} kilovati	s/z 4 kilovati	{0} kilovati	s/z 5 kilovati
power	megawatts	masculine	On megavat	nominative	{0} megavat	101 megavat je	{0} megavata	102 megavata je	{0} megavati	4 megavati je	{0} megavatov	5 megavatov je
power	megawatts	masculine	On megavat	accusative	{0} megavat	čez 101 megavat	{0} megavata	čez 102 megavata	{0} megavate	čez 4 megavate	{0} megavatov	čez 5 megavatov
power	megawatts	masculine	On megavat	genitive	{0} megavata	brez 101 megavata	{0} megavatov	brez 102 megavatov	{0} megavatov	brez 4 megavatov	{0} megavatov	brez 5 megavatov
power	megawatts	masculine	On megavat	locative	{0} megavatu	po 101 megavatu	{0} megavatih	po 102 megavatih	{0} megavatih	po 4 megavatih	{0} megavatih	po 5 megavatih
power	megawatts	masculine	On megavat	dative	{0} megavatu	kljub 101 megavatu	{0} megavatoma	kljub 102 megavatoma	{0} megavatom	kljub 4 megavatom	{0} megavatom	kljub 5 megavatom
power	megawatts	masculine	On megavat	instrumental	{0} megavatom	s/z 101 megavatom	{0} megavatoma	s/z 102 megavatoma	{0} megavati	s/z 4 megavati	{0} megavati	s/z 5 megavati
power	gigawatts	masculine	On gigavat	nominative	{0} gigavat	101 gigavat je	{0} gigavata	102 gigavata je	{0} gigavati	4 gigavati je	{0} gigavatov	5 gigavatov je
power	gigawatts	masculine	On gigavat	accusative	{0} gigavat	čez 101 gigavat	{0} gigavata	čez 102 gigavata	{0} gigavate	čez 4 gigavate	{0} gigavatov	čez 5 gigavatov
power	gigawatts	masculine	On gigavat	genitive	{0} gigavata	brez 101 gigavata	{0} gigavatov	brez 102 gigavatov	{0} gigavatov	brez 4 gigavatov	{0} gigavatov	brez 5 gigavatov
power	gigawatts	masculine	On gigavat	locative	{0} gigavatu	po 101 gigavatu	{0} gigavatih	po 102 gigavatih	{0} gigavatih	po 4 gigavatih	{0} gigavatih	po 5 gigavatih
power	gigawatts	masculine	On gigavat	dative	{0} gigavatu	kljub 101 gigavatu	{0} gigavatoma	kljub 102 gigavatoma	{0} gigavatom	kljub 4 gigavatom	{0} gigavatom	kljub 5 gigavatom
power	gigawatts	masculine	On gigavat	instrumental	{0} gigavatom	s/z 101 gigavatom	{0} gigavatoma	s/z 102 gigavatoma	{0} gigavati	s/z 4 gigavati	{0} gigavati	s/z 5 gigavati
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	nominative	{0} svetilnost sonca	101 svetilnost sonca je	{0} svetilnosti sonca	102 svetilnosti sonca je	{0} svetilnosti sonca	4 svetilnosti sonca je	{0} svetilnosti sonca	5 svetilnosti sonca je
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	accusative	{0} svetilnost sonca	čez 101 svetilnost sonca	{0} svetilnosti sonca	čez 102 svetilnosti sonca	{0} svetilnosti sonca	čez 4 svetilnosti sonca	{0} svetilnosti sonca	čez 5 svetilnosti sonca
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	genitive	{0} svetilnost sonca	brez 101 svetilnost sonca	{0} svetilnosti sonca	brez 102 svetilnosti sonca	{0} svetilnosti sonca	brez 4 svetilnosti sonca	{0} svetilnosti sonca	brez 5 svetilnosti sonca
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	locative	{0} svetilnost sonca	po 101 svetilnost sonca	{0} svetilnosti sonca	po 102 svetilnosti sonca	{0} svetilnosti sonca	po 4 svetilnosti sonca	{0} svetilnosti sonca	po 5 svetilnosti sonca
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	dative	{0} svetilnost sonca	kljub 101 svetilnost sonca	{0} svetilnosti sonca	kljub 102 svetilnosti sonca	{0} svetilnosti sonca	kljub 4 svetilnosti sonca	{0} svetilnosti sonca	kljub 5 svetilnosti sonca
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a	instrumental	{0} svetilnost sonca	s/z 101 svetilnost sonca	{0} svetilnosti sonca	s/z 102 svetilnosti sonca	{0} svetilnosti sonca	s/z 4 svetilnosti sonca	{0} svetilnosti sonca	s/z 5 svetilnosti sonca
pressure	pascals	masculine	On paskal	nominative	{0} paskal	101 paskal je	{0} paskala	102 paskala je	{0} paskali	4 paskali je	{0} paskalov	5 paskalov je
pressure	pascals	masculine	On paskal	accusative	{0} paskal	čez 101 paskal	{0} paskala	čez 102 paskala	{0} paskale	čez 4 paskale	{0} paskalov	čez 5 paskalov
pressure	pascals	masculine	On paskal	genitive	{0} paskala	brez 101 paskala	{0} paskalov	brez 102 paskalov	{0} paskalov	brez 4 paskalov	{0} paskalov	brez 5 paskalov
pressure	pascals	masculine	On paskal	locative	{0} paskalu	po 101 paskalu	{0} paskalih	po 102 paskalih	{0} paskalih	po 4 paskalih	{0} paskalih	po 5 paskalih
pressure	pascals	masculine	On paskal	dative	{0} paskalu	kljub 101 paskalu	{0} paskaloma	kljub 102 paskaloma	{0} paskalom	kljub 4 paskalom	{0} paskalom	kljub 5 paskalom
pressure	pascals	masculine	On paskal	instrumental	{0} paskalom	s/z 101 paskalom	{0} paskaloma	s/z 102 paskaloma	{0} paskali	s/z 4 paskali	{0} paskali	s/z 5 paskali
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	nominative	{0} hektopaskal	101 hektopaskal je	{0} hektopaskala	102 hektopaskala je	{0} hektopaskali	4 hektopaskali je	{0} hektopaskalov	5 hektopaskalov je
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	accusative	{0} hektopaskal	čez 101 hektopaskal	{0} hektopaskala	čez 102 hektopaskala	{0} hektopaskale	čez 4 hektopaskale	{0} hektopaskalov	čez 5 hektopaskalov
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	genitive	{0} hektopaskala	brez 101 hektopaskala	{0} hektopaskalov	brez 102 hektopaskalov	{0} hektopaskalov	brez 4 hektopaskalov	{0} hektopaskalov	brez 5 hektopaskalov
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	locative	{0} hektopaskalu	po 101 hektopaskalu	{0} hektopaskalih	po 102 hektopaskalih	{0} hektopaskalih	po 4 hektopaskalih	{0} hektopaskalih	po 5 hektopaskalih
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	dative	{0} hektopaskalu	kljub 101 hektopaskalu	{0} hektopaskaloma	kljub 102 hektopaskaloma	{0} hektopaskalom	kljub 4 hektopaskalom	{0} hektopaskalom	kljub 5 hektopaskalom
pressure	hectopascal • ( = 1 mbar)	masculine	On hektopaskal	instrumental	{0} hektopaskalom	s/z 101 hektopaskalom	{0} hektopaskaloma	s/z 102 hektopaskaloma	{0} hektopaskali	s/z 4 hektopaskali	{0} hektopaskali	s/z 5 hektopaskali
pressure	millibars	masculine	On milibar	nominative	{0} milibar	101 milibar je	{0} milibara	102 milibara je	{0} milibari	4 milibari je	{0} milibarov	5 milibarov je
pressure	millibars	masculine	On milibar	accusative	{0} milibar	čez 101 milibar	{0} milibara	čez 102 milibara	{0} milibare	čez 4 milibare	{0} milibarov	čez 5 milibarov
pressure	millibars	masculine	On milibar	genitive	{0} milibara	brez 101 milibara	{0} milibarov	brez 102 milibarov	{0} milibarov	brez 4 milibarov	{0} milibarov	brez 5 milibarov
pressure	millibars	masculine	On milibar	locative	{0} milibaru	po 101 milibaru	{0} milibarih	po 102 milibarih	{0} milibarih	po 4 milibarih	{0} milibarih	po 5 milibarih
pressure	millibars	masculine	On milibar	dative	{0} milibaru	kljub 101 milibaru	{0} milibaroma	kljub 102 milibaroma	{0} milibarom	kljub 4 milibarom	{0} milibarom	kljub 5 milibarom
pressure	millibars	masculine	On milibar	instrumental	{0} milibarom	s/z 101 milibarom	{0} milibaroma	s/z 102 milibaroma	{0} milibari	s/z 4 milibari	{0} milibari	s/z 5 milibari
pressure	kilopascals	masculine	On kilopaskal	nominative	{0} kilopaskal	101 kilopaskal je	{0} kilopaskala	102 kilopaskala je	{0} kilopaskali	4 kilopaskali je	{0} kilopaskalov	5 kilopaskalov je
pressure	kilopascals	masculine	On kilopaskal	accusative	{0} kilopaskal	čez 101 kilopaskal	{0} kilopaskala	čez 102 kilopaskala	{0} kilopaskale	čez 4 kilopaskale	{0} kilopaskalov	čez 5 kilopaskalov
pressure	kilopascals	masculine	On kilopaskal	genitive	{0} kilopaskala	brez 101 kilopaskala	{0} kilopaskalov	brez 102 kilopaskalov	{0} kilopaskalov	brez 4 kilopaskalov	{0} kilopaskalov	brez 5 kilopaskalov
pressure	kilopascals	masculine	On kilopaskal	locative	{0} kilopaskalu	po 101 kilopaskalu	{0} kilopaskalih	po 102 kilopaskalih	{0} kilopaskalih	po 4 kilopaskalih	{0} kilopaskalih	po 5 kilopaskalih
pressure	kilopascals	masculine	On kilopaskal	dative	{0} kilopaskalu	kljub 101 kilopaskalu	{0} kilopaskaloma	kljub 102 kilopaskaloma	{0} kilopaskalom	kljub 4 kilopaskalom	{0} kilopaskalom	kljub 5 kilopaskalom
pressure	kilopascals	masculine	On kilopaskal	instrumental	{0} kilopaskalom	s/z 101 kilopaskalom	{0} kilopaskaloma	s/z 102 kilopaskaloma	{0} kilopaskali	s/z 4 kilopaskali	{0} kilopaskali	s/z 5 kilopaskali
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	nominative	{0} palec živega srebra	101 palec živega srebra je	{0} palca živega srebra	102 palca živega srebra je	{0} palci živega srebra	4 palci živega srebra je	{0} palcev živega srebra	5 palcev živega srebra je
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	accusative	{0} palec živega srebra	čez 101 palec živega srebra	{0} palca živega srebra	čez 102 palca živega srebra	{0} palci živega srebra	čez 4 palci živega srebra	{0} palcev živega srebra	čez 5 palcev živega srebra
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	genitive	{0} palec živega srebra	brez 101 palec živega srebra	{0} palca živega srebra	brez 102 palca živega srebra	{0} palci živega srebra	brez 4 palci živega srebra	{0} palcev živega srebra	brez 5 palcev živega srebra
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	locative	{0} palec živega srebra	po 101 palec živega srebra	{0} palca živega srebra	po 102 palca živega srebra	{0} palci živega srebra	po 4 palci živega srebra	{0} palcev živega srebra	po 5 palcev živega srebra
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	dative	{0} palec živega srebra	kljub 101 palec živega srebra	{0} palca živega srebra	kljub 102 palca živega srebra	{0} palci živega srebra	kljub 4 palci živega srebra	{0} palcev živega srebra	kljub 5 palcev živega srebra
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a	instrumental	{0} palec živega srebra	s/z 101 palec živega srebra	{0} palca živega srebra	s/z 102 palca živega srebra	{0} palci živega srebra	s/z 4 palci živega srebra	{0} palcev živega srebra	s/z 5 palcev živega srebra
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	nominative	{0} funt na kvadratni palec	101 funt na kvadratni palec je	{0} funta na kvadratni palec	102 funta na kvadratni palec je	{0} funti na kvadratni palec	4 funti na kvadratni palec je	{0} funtov na kvadratni palec	5 funtov na kvadratni palec je
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	accusative	{0} funt na kvadratni palec	čez 101 funt na kvadratni palec	{0} funta na kvadratni palec	čez 102 funta na kvadratni palec	{0} funti na kvadratni palec	čez 4 funti na kvadratni palec	{0} funtov na kvadratni palec	čez 5 funtov na kvadratni palec
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	genitive	{0} funt na kvadratni palec	brez 101 funt na kvadratni palec	{0} funta na kvadratni palec	brez 102 funta na kvadratni palec	{0} funti na kvadratni palec	brez 4 funti na kvadratni palec	{0} funtov na kvadratni palec	brez 5 funtov na kvadratni palec
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	locative	{0} funt na kvadratni palec	po 101 funt na kvadratni palec	{0} funta na kvadratni palec	po 102 funta na kvadratni palec	{0} funti na kvadratni palec	po 4 funti na kvadratni palec	{0} funtov na kvadratni palec	po 5 funtov na kvadratni palec
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	dative	{0} funt na kvadratni palec	kljub 101 funt na kvadratni palec	{0} funta na kvadratni palec	kljub 102 funta na kvadratni palec	{0} funti na kvadratni palec	kljub 4 funti na kvadratni palec	{0} funtov na kvadratni palec	kljub 5 funtov na kvadratni palec
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a	instrumental	{0} funt na kvadratni palec	s/z 101 funt na kvadratni palec	{0} funta na kvadratni palec	s/z 102 funta na kvadratni palec	{0} funti na kvadratni palec	s/z 4 funti na kvadratni palec	{0} funtov na kvadratni palec	s/z 5 funtov na kvadratni palec
pressure	bars	masculine	On bar	nominative	{0} bar	101 bar je	{0} bara	102 bara je	{0} bari	4 bari je	{0} barov	5 barov je
pressure	bars	masculine	On bar	accusative	{0} bar	čez 101 bar	{0} bara	čez 102 bara	{0} bare	čez 4 bare	{0} barov	čez 5 barov
pressure	bars	masculine	On bar	genitive	{0} bara	brez 101 bara	{0} barov	brez 102 barov	{0} barov	brez 4 barov	{0} barov	brez 5 barov
pressure	bars	masculine	On bar	locative	{0} baru	po 101 baru	{0} barih	po 102 barih	{0} barih	po 4 barih	{0} barih	po 5 barih
pressure	bars	masculine	On bar	dative	{0} baru	kljub 101 baru	{0} baroma	kljub 102 baroma	{0} barom	kljub 4 barom	{0} barom	kljub 5 barom
pressure	bars	masculine	On bar	instrumental	{0} barom	s/z 101 barom	{0} baroma	s/z 102 baroma	{0} bari	s/z 4 bari	{0} bari	s/z 5 bari
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	nominative	{0} atmosfera	101 atmosfera je	{0} atmosferi	102 atmosferi je	{0} atmosfere	4 atmosfere je	{0} atmosfer	5 atmosfer je
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	accusative	{0} atmosfero	čez 101 atmosfero	{0} atmosferi	čez 102 atmosferi	{0} atmosfere	čez 4 atmosfere	{0} atmosfer	čez 5 atmosfer
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	genitive	{0} atmosfere	brez 101 atmosfere	{0} atmosfer	brez 102 atmosfer	{0} atmosfer	brez 4 atmosfer	{0} atmosfer	brez 5 atmosfer
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	locative	{0} atmosferi	po 101 atmosferi	{0} atmosferah	po 102 atmosferah	{0} atmosferah	po 4 atmosferah	{0} atmosferah	po 5 atmosferah
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	dative	{0} atmosferi	kljub 101 atmosferi	{0} atmosferama	kljub 102 atmosferama	{0} atmosferam	kljub 4 atmosferam	{0} atmosferam	kljub 5 atmosferam
pressure	atmosphere • ( = 1.01325 bar)	feminine	Ona atmosfera	instrumental	{0} atmosfero	s/z 101 atmosfero	{0} atmosferama	s/z 102 atmosferama	{0} atmosferami	s/z 4 atmosferami	{0} atmosferami	s/z 5 atmosferami
pressure	megapascals	masculine	On megapaskal	nominative	{0} megapaskal	101 megapaskal je	{0} megapaskala	102 megapaskala je	{0} megapaskali	4 megapaskali je	{0} megapaskalov	5 megapaskalov je
pressure	megapascals	masculine	On megapaskal	accusative	{0} megapaskal	čez 101 megapaskal	{0} megapaskala	čez 102 megapaskala	{0} megapaskale	čez 4 megapaskale	{0} megapaskalov	čez 5 megapaskalov
pressure	megapascals	masculine	On megapaskal	genitive	{0} megapaskala	brez 101 megapaskala	{0} megapaskalov	brez 102 megapaskalov	{0} megapaskalov	brez 4 megapaskalov	{0} megapaskalov	brez 5 megapaskalov
pressure	megapascals	masculine	On megapaskal	locative	{0} megapaskalu	po 101 megapaskalu	{0} megapaskalih	po 102 megapaskalih	{0} megapaskalih	po 4 megapaskalih	{0} megapaskalih	po 5 megapaskalih
pressure	megapascals	masculine	On megapaskal	dative	{0} megapaskalu	kljub 101 megapaskalu	{0} megapaskaloma	kljub 102 megapaskaloma	{0} megapaskalom	kljub 4 megapaskalom	{0} megapaskalom	kljub 5 megapaskalom
pressure	megapascals	masculine	On megapaskal	instrumental	{0} megapaskalom	s/z 101 megapaskalom	{0} megapaskaloma	s/z 102 megapaskaloma	{0} megapaskali	s/z 4 megapaskali	{0} megapaskali	s/z 5 megapaskali
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	nominative	{0} pika na palec	101 pika na palec je	{0} dpi	102 dpi je	{0} dpi	4 dpi je	{0} pik na palec	5 pik na palec je
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	accusative	{0} pika na palec	čez 101 pika na palec	{0} dpi	čez 102 dpi	{0} dpi	čez 4 dpi	{0} pik na palec	čez 5 pik na palec
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	genitive	{0} pika na palec	brez 101 pika na palec	{0} dpi	brez 102 dpi	{0} dpi	brez 4 dpi	{0} pik na palec	brez 5 pik na palec
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	locative	{0} pika na palec	po 101 pika na palec	{0} dpi	po 102 dpi	{0} dpi	po 4 dpi	{0} pik na palec	po 5 pik na palec
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	dative	{0} pika na palec	kljub 101 pika na palec	{0} dpi	kljub 102 dpi	{0} dpi	kljub 4 dpi	{0} pik na palec	kljub 5 pik na palec
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	instrumental	{0} pika na palec	s/z 101 pika na palec	{0} dpi	s/z 102 dpi	{0} dpi	s/z 4 dpi	{0} pik na palec	s/z 5 pik na palec
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	nominative	{0} ppi	101 ppi je	{0} ppi	102 ppi je	{0} ppi	4 ppi je	{0} ppi	5 ppi je
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	accusative	{0} ppi	čez 101 ppi	{0} ppi	čez 102 ppi	{0} ppi	čez 4 ppi	{0} ppi	čez 5 ppi
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	genitive	{0} ppi	brez 101 ppi	{0} ppi	brez 102 ppi	{0} ppi	brez 4 ppi	{0} ppi	brez 5 ppi
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	locative	{0} ppi	po 101 ppi	{0} ppi	po 102 ppi	{0} ppi	po 4 ppi	{0} ppi	po 5 ppi
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	dative	{0} ppi	kljub 101 ppi	{0} ppi	kljub 102 ppi	{0} ppi	kljub 4 ppi	{0} ppi	kljub 5 ppi
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a	instrumental	{0} ppi	s/z 101 ppi	{0} ppi	s/z 102 ppi	{0} ppi	s/z 4 ppi	{0} ppi	s/z 5 ppi
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	nominative	{0} slikovna pika na centimeter	101 slikovna pika na centimeter je	{0} slikovni piki na centimeter	102 slikovni piki na centimeter je	{0} slikovne pike na centimeter	4 slikovne pike na centimeter je	{0} slikovnih pik na centimeter	5 slikovnih pik na centimeter je
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	accusative	{0} slikovno piko na centimeter	čez 101 slikovno piko na centimeter	{0} slikovni piki na centimeter	čez 102 slikovni piki na centimeter	{0} slikovne pike na centimeter	čez 4 slikovne pike na centimeter	{0} slikovnih pik na centimeter	čez 5 slikovnih pik na centimeter
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	genitive	{0} slikovne pike na centimeter	brez 101 slikovne pike na centimeter	{0} slikovnih pik na centimeter	brez 102 slikovnih pik na centimeter	{0} slikovnih pik na centimeter	brez 4 slikovnih pik na centimeter	{0} slikovnih pik na centimeter	brez 5 slikovnih pik na centimeter
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	locative	{0} slikovni piki na centimeter	po 101 slikovni piki na centimeter	{0} slikovnih pikah na centimeter	po 102 slikovnih pikah na centimeter	{0} slikovnih pikah na centimeter	po 4 slikovnih pikah na centimeter	{0} slikovnih pikah na centimeter	po 5 slikovnih pikah na centimeter
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	dative	{0} slikovni piki na centimeter	kljub 101 slikovni piki na centimeter	{0} slikovnima pikama na centimeter	kljub 102 slikovnima pikama na centimeter	{0} slikovnim pikam na centimeter	kljub 4 slikovnim pikam na centimeter	{0} slikovnim pikam na centimeter	kljub 5 slikovnim pikam na centimeter
resolution	pixel-per-centimeter • ( = 1 dpcm)	feminine	Ona slikovna pika na centimeter	instrumental	{0} slikovno piko na centimeter	s/z 101 slikovno piko na centimeter	{0} slikovnima pikama na centimeter	s/z 102 slikovnima pikama na centimeter	{0} slikovnimi pikami na centimeter	s/z 4 slikovnimi pikami na centimeter	{0} slikovnimi pikami na centimeter	s/z 5 slikovnimi pikami na centimeter
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	On kilometer na uro	nominative	{0} kilometer na uro	101 kilometer na uro je	{0} kilometra na uro	102 kilometra na uro je	{0} kilometri na uro	4 kilometri na uro je	{0} kilometrov na uro	5 kilometrov na uro je
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	On kilometer na uro	accusative	{0} kilometer na uro	čez 101 kilometer na uro	{0} kilometra na uro	čez 102 kilometra na uro	{0} kilometre na uro	čez 4 kilometre na uro	{0} kilometrov na uro	čez 5 kilometrov na uro
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	On kilometer na uro	genitive	{0} kilometra na uro	brez 101 kilometra na uro	{0} kilometrov na uro	brez 102 kilometrov na uro	{0} kilometrov na uro	brez 4 kilometrov na uro	{0} kilometrov na uro	brez 5 kilometrov na uro
